index,author_name,review_date,reviewer_ratings,review_body
0,PoppySeed800,"April 30, 2020",4,"just a suggestion... please, please, please make it to where people can like and comment on other peoples posts. personally, i would like to be able to have a way of sharing feed back with the people that i’m following. right now there is messaging, but the other person has to also be following you. some of the people aren’t following me back so i have no way of communicating AT ALL. like i said please put a comment section, that would give the app a 5 star rating from me if you did that because it would make it a million times better!! please take my suggestion into thought because i’ve heard that my friends would love it that way too!! i’m hoping somebody sees this so that they can make a change to the app. I would love to see there being a like button and a comment section. I have been using the app for a while now and I found that if this were there, the app would be so much better. I understand that you want people to be able to express themselves and not receive any hate for doing so, but this would be a good way for others to encourage those people for being who they truly are. There doesn’t even have to be a dislike button, that way even if people didn’t like something, they don’t have to show it. That would keep the positivity rolling. Please take this into consideration because like I said, it would make the app better for me personally, but I’m sure a lot of other people too🙂"
1,Nice and the best,"July 1, 2019",3,Hate update from a while ago I loved vsco but I hate the storing now because it all goes to my camera roll but that just takes up more storage I like to keep my pictures I take on vsco on vsco and the only way I can keep them if I delete it from my camera roll is if I post it but I don’t post every picture I take I like to just mess around with some of mine that I don’t want everyone to see. Please fix this so many people have complained about it and still it hasn’t been fixed I about want to use a new app but. I think you guys should also add the feature to make our vsco account private. Another thing that irritates me is that if I delete my vsco or something happens or say I got a new phone when I download vsco again all my old photos will be gone and yes I know I can save them to my camera roll to back them up but I hate having my vsco pictures on my camera roll I got vsco so my friends could see my fun pictures that I edit I don’t want to have to save my vsco pictures to my camera roll or another app it’s just better to have them on there. 
2,P. C. O.,"November 21, 2018",4,"Love it, but it could be better imo I use this to edit all my photos and I love it, I'm also a VSCO X member and I definitely recommend it for everyone. But, I would like it if you guys made the highlight option to not only take away highlights but to enhance them as well, or present an option where I can select what portions of my image I want highlighted (I’d prefer this more), and the same for shadows. Also, I’d like to be able to add presets to DSCO, not just the ones you offer as soon as I take it, because the way it functions now I’d have to save the DSCO, then re upload it to VSCO, which I find tedious. I’d also like the option to turn other videos I have into DSCO. Oh, also for DSCO, I want to be able to save it to my VSCO library, instead of only being to save it to my phone or uploading it to my VSCO feed, and make it longer, DSCOs are so short. And it would be cool if you introduced options that are fun like chromatic aberration, or vintage scratches and dust. If you guys had all these things I wouldn’t touch another app lol. The app’s dope though, keep it up."
3,zgrooms,"June 23, 2019",2,"Hate the update! I used to absolutely love this app. There wasn’t a quality I didn’t like about it. I never actually had an account, or the paid version, and still loved it! I use it to edit my photos for my blog. Recently, after updating the app I noticed a change to the way photos are stored. If I delete a photo in my camera roll, it deletes the edited version from the app. I absolutely hate this change. I use the app to edit my photos before posting, but love to be able to go back and review old photos from the past. After editing and posting on Instagram I always delete them from my camera roll because I don’t like to have a ton of food pictures on my phone. I always loved that I could go back in the VSCO app and pull up old photos to reuse on my blog if I wanted to. Now that the photos delete themselves when I remove them from my camera roll I am no longer able to store them in the VSCO app. This is super frustrating, and makes me wonder whether I want to continue using the app to edit my photos. "
4,well this is 4 stars,"August 19, 2019",2,"Frustrating Storage Due To Update I absolutely love vsco & it’s filters & I’ve been using them for years. One of my favorite things was I could import photos into my vsco studio & delete them from my camera roll. Whenever I had the time, I could go back into my vsco studio & get around to editing. Sometimes I’d save it to my camera roll if I was ready to share/post somewhere, but most of the time I didn’t. Keeping it in my vsco studio until I needed it just kept everything organized and I could easily keep track of my photos and edits. However, this new update deletes photos from the studio if the original is deleted from the camera roll. This has only caused frustration and an immensely unorganized mess of photos in my camera roll. I don’t want everything there, I don’t always need everything exported from the app. And what if I accidentally delete the original? The edit I worked so hard on is gone. This update has only made me use vsco less, and other editing apps a whole lot more. The storage did not need to be fixed, it was functioning perfectly! Overall, this update was extremely upsetting."
5,dissapointedperusual101,"January 5, 2019",2,"non app owner views Because my viewers of my vsco web page without the application on their phone can only view a certain amount of my content, I have decided to no longer focus on my vsco, which was my highest prioritized platform of social media, and now only focus on my instagram and Facebook. I enjoyed having my vsco as a personal blog type app available for my viewers to look at my page even if they didn’t have the app. Now since vsco requires those to have the app to see all content I must shift my focus to a more easily accessible platform. I wanted to share my art and more personal side but don’t want to be limited because an application wants more users. I thought vsco supported everyone’s differences and sharing those with the world but now I see their focus on strictly obtaining users and making money off of them. This makes me less inclined to utilize vsco and far less inclined to ever purchase again through vsco. Your app brand was different and used to focus on the individual and now you’re just another one of the others, focusing primarily on money and less of the freedom of the user."
6,Ashton McHale,"July 18, 2018",5,"Love love love...but wait! I absolutely love VSCO and use it for all of my photography. The range of creativity, inspiration and options it provides is incredible. My only complaint is that when I’m scrolling through my feed, I always see tons of content that I like and that I want to republish. However, I always have to slow down while doing this and can’t mass-republish things without getting an error message! Maybe devs you’ve heard this complaint before and refuse to change it because you want users to pay more attention to others work and not just fly through it (at least that’s why I think you haven’t changed this), but I really wish you would! Content can still be enjoyed even if one goes through it quickly. And believe me, I know that many would enjoy the content that they see much more if they were able to republish and favorite things faster without error. Thanks!"
7,Ewilson12345678🍕🎤🐳,"July 4, 2018",5,"best app ever i am no artist. but ever since i got vsco it has made me want to be more creative and  think outside of the box. the things people can publish on vsco are always incredible and even if it is just words they are always the most relatable things. my favorite part about vsco is that you can’t comment. people that post on instagram always have the fear of getting a certain amount of likes and who’s going to comment something, but vsco isn’t like that. you can be yourself. no one knows how many followers you have. no one knows how many likes you get and rebublishes (kinda like a retweet if u don’t have the app yet... get it though!) but anyway, thank you vsco for being my favorite app and i just have one recommendation; the posts that people publish saying things like “get this to 6 million republishes for my best friend to stop smoking or for me to do something, etc.” is it possible that the people who own there own accounts can see an actual number of the ppl who republish and like? not because any cares on vsco but because of purposes like that one. i’d like if nobody can see it but myself, just so i don’t have to count. even if this never happens, i wouldn’t be upset at all. i love the way vsco makes every person feel equal. it’s just a hastle counting when it could just tell you the numbers and only you. if you read this, thank you so much!! rock on!!"
8,osulls490,"December 12, 2017",3,"I love VSCO The app really is stellar, I use their professional film emulation presets in my photo work in Lightroom, and this app makes a lot of that same magic accessible on mobile while introducing a more art aesthetic social experience that counters Instagram. My only real complaint is that notifications are badly delayed. I can get a bunch of them but when I follow them into the app they have yet to refresh the actual activity listings on my posts. They remain that way for awhile before finally catching up. Other people will lament the somewhat obtuse UI and that’s a fair criticism that I don’t even think the devs try to sidestep, they wanted to do something unique a couple years back, but they’ve walked a lot of that back because it was unintuitively unique. I’d still like to see a design change for the app navigation that makes it more intuitive, but they’ve crammed so many valuable features into the main purpose of the app that I can live with it for now. It just makes introducing it to friends a little more difficult."
9,mvalencia_,"June 8, 2019",2,"I hate the recent change. I have been using this app for years now so I finally gave in and decided to purchase a membership. I have loved it....until now. I hate the recent update. Now if you delete a photo in the camera roll then it is automatically deleted in the vsco app, this is extremely frustrating. I was unaware of this recent change. Which is odd because I use this app frequently. It was only brought to my attention once I tried searching the internet to find a way to recover the photos I lost."
