index,author_name,review_date,reviewer_ratings,review_body
0,Patrick Olender,"February 24, 2020",3," It works okayish, I can live with it. But many features are missing, that I know from Slack, and sometimes the display of content is glitched and cuts into other content. Furthermore, the emojis of reactions are not always displayed correctly, instead I have an empty box."
1,Vincent Vermilya,"February 12, 2020",3, Still slow but not unbearably slow anymore. If an update breaks something at least this gets updated more often than stable. I still anticipate having to use force stop and reset cache if it locks up again but maybe I'll be proven wrong.
2,Sea Ndeveci,"March 8, 2020",1," After the recent update, I lost all my channels and when I click on the notifications I get an empty screen. I have resorted to using the browser version. Emojis don't work unless I wipe my cache everytime I want to use one."
3,Shehzad Mohyuddin,"April 2, 2020",4," Cannot get push notifications to work on mobile. If that can be done, i'd rate to 5 star. Great effort overall. Please keep it up"
4,Salatiel Filho,"February 14, 2020",4," Getting better. There are still several bugs related to notifications and syncing, but it has improved a lot recently."
5,HeeChan Kang,"March 10, 2020",5, Good to see constant improvement. Please keep the good work up - we use Rocket.Chat at our workplace a lot and the UI/UX of this app really matters a lot... :)
6,Terry Paton,"March 12, 2020",5," Super smooth to use, recommend it for personal and commercial use."
7,Jędrzej Mróz,"March 6, 2020",1," Unstable, really bad syncing with other devices, crashing, lagging, not reliable app."
8,Matthew Hardwick,"February 27, 2020",3, GIFs via Google Keyboard appear to have been disabled. I can't post them anymore. Please bring them back!
9,Mirek Kratochvil,"March 26, 2020",5, Great selfhosted alternative for Slack. Works perfectly.
10,Sony Xperia Z3,"March 18, 2020",5," Great app, quick and useful feedback from devs"
11,Jace Walker,"March 26, 2020",1, Notifications are extremely delayed in the official app and this one
12,Alessandro Belli,"March 20, 2020",1," Not working with our server, but with browser or iOS yes."
13,Hansen W,"December 27, 2019",3," Hi after the update, I can no longer log into my team server. When I log in, it's just a black screen. I tried clearing the app data too but it didn't help. Edit: Thanks, it seems to be working again."
14,Richard Iversen,"December 4, 2019",4, I really like the application. It connects fine. i do wish image attachments would pick up the name of the original file or at least extension .
